Happiness Rank,Family,Country,Region,Happiness Score,Dystopia Residual,Generosity,Health (Life Expectancy),Trust (Government Corruption),Upper Confidence Interval,Freedom,Lower Confidence Interval,Economy (GDP per Capita)
112,0.59205,Iraq,Middle East and Northern Africa,4.575,1.81657,0.19589,0.51076,0.13636,4.704,0.24856,4.446,1.07474
114,0.62542,Cameroon,Sub-Saharan Africa,4.513,2.5198,0.2268,0.12698,0.06126,4.609,0.42736,4.417,0.52497
115,0.37932,Ethiopia,Sub-Saharan Africa,4.508,2.65614,0.29522,0.34578,0.1717,4.591,0.36703,4.425,0.29283
116,0.96053,South Africa,Sub-Saharan Africa,4.459,1.64227,0.13656,0.18611,0.08415,4.547,0.42483,4.371,1.02416
117,0.84783,Sri Lanka,Southern Asia,4.415,0.91681,0.46978,0.62007,0.07964,4.508,0.50817,4.322,0.97318
118,0.29247,India,Southern Asia,4.404,2.18032,0.25028,0.45091,0.08722,4.457,0.40285,4.351,0.74036
119,0.69981,Myanmar,Southeastern Asia,4.395,1.50655,0.81971,0.3988,0.20243,4.463,0.42692,4.327,0.34112
120,0.49813,Egypt,Middle East and Northern Africa,4.362,1.96895,0.12706,0.52116,0.10393,4.465,0.18847,4.259,0.95395
121,0.62477,Armenia,Central and Eastern Europe,4.36,1.97864,0.07793,0.64083,0.03616,4.454,0.14037,4.266,0.86086
122,0.7624,Kenya,Sub-Saharan Africa,4.356,1.88326,0.41328,0.30147,0.06686,4.453,0.40576,4.259,0.52267
123,1.01413,Ukraine,Central and Eastern Europe,4.324,1.50066,0.20363,0.58628,0.01829,4.412,0.12859,4.236,0.87287
124,0.49353,Ghana,Sub-Saharan Africa,4.276,2.2002,0.21203,0.29681,0.0326,4.367,0.40973,4.185,0.63107
125,0.80676,Congo (Kinshasa),Sub-Saharan Africa,4.272,2.74924,0.25458,0.188,0.06075,4.353,0.15602,4.191,0.05661
126,0.19249,Georgia,Central and Eastern Europe,4.252,1.87031,0.06786,0.64035,0.3188,4.34,0.32461,4.164,0.83792
127,0.47799,Congo (Brazzaville),Sub-Saharan Africa,4.236,2.10681,0.12077,0.28212,0.09753,4.365,0.37938,4.107,0.77109
128,0.77416,Senegal,Sub-Saharan Africa,4.219,1.97861,0.19103,0.40457,0.11681,4.287,0.31056,4.151,0.44314
129,0.92542,Bulgaria,Central and Eastern Europe,4.217,1.15377,0.12793,0.67806,0.00615,4.33,0.21219,4.104,1.11306
130,0.84142,Mauritania,Sub-Saharan Africa,4.201,1.9263,0.22686,0.28639,0.17955,4.275,0.1268,4.127,0.61391
